Date,Description,Reference Number,Debit,Credit,Balance
2025-04-01,Amazon AWS Services,TXN10234,1500.00,,8500.00
2025-04-02,Client Payment - Project Alpha,TXN10235,,5000.00,13500.00
2025-04-03,Google Ads,TXN10236,2000.00,,11500.00
2025-04-05,Office Supplies,TXN10237,800.00,,10700.00
2025-04-06,Stripe Payment Received,TXN10238,,2500.00,13200.00
2025-04-07,Uber Business Ride,TXN10239,120.00,,13080.00
2025-04-08,LinkedIn Premium,TXN10240,100.00,,12980.00
2025-04-09,Client Payment - Project Beta,TXN10241,,3000.00,15980.00
2025-04-10,Adobe Creative Cloud,TXN10242,90.00,,15080.00
2025-04-11,Digital Ocean Hosting,TXN10243,350.00,,14730.00
2025-04-11,Client Payment - Retainer,TXN10244,,4000.00,18730.00
2025-04-12,Coffee Meeting,TXN10245,45.00,,18685.00
2025-04-13,Transfer to Savings,TXN10246,2000.00,,16685.00
2025-04-14,Refund from Supplier,TXN10247,,65.00,17335.00
2025-04-15,PayPal Fee,TXN10248,32.00,,17303.00
2025-04-16,Amazon AWS Services,TXN10249,1600.00,,15703.00
2025-04-17,Client Payment - Project Gamma,TXN10250,,4200.00,19903.00
