Date,Description,Reference Number,Debit,Credit
2025-04-01,AWS Services - March,TXN10234,500.0,
2025-04-02,Payment from Client Alpha,TXN10235,,5000.0
2025-04-03,Google Ads March,TXN10236,2000.0,
2025-04-05,Office Depot Supplies,TXN10237,800.0,
2025-04-06,Stripe Payment - Invoice 324,TXN10238,,2500.0
2025-04-07,Business Travel - Uber,TXN10239,120.0,
2025-04-08,LinkedIn Membership,TXN10240,100.0,
2025-04-09,Payment from Beta Corp,TXN10241,,3000.0
2025-04-10,Adobe Suite,TXN10242,900.0,
2025-04-11,Digital Ocean Hosting,TXN10243,350.0,
2025-04-11,Retainer from Client,TXN10244,,4000.0
2025-04-12,Networking Meeting Coffee,TXN10245,45.0,
2025-04-13,Savings Transfer,TXN10246,2000.0,
2025-04-14,Supplier Refund,TXN10247,,650.0
2025-04-15,PayPal Service Fee,TXN10248,32.0,
2025-04-16,AWS Services - April,TXN10249,1600.0,
2025-04-17,Client Gamma Payment,TXN10250,,4200.0
